0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:33 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:33 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3799
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:34 +0900] "GET /Hospital_Reservation/view/jumbotron.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:34 +0900] "GET /Hospital_Reservation/view/602720.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:34 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:34 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:34 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3799
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:35 +0900] "GET /Hospital_Reservation/view/jumbotron.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:35 +0900] "GET /Hospital_Reservation/view/602720.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:35 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3799
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:35 +0900] "GET /Hospital_Reservation/view/jumbotron.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:35 +0900] "GET /Hospital_Reservation/view/602720.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:36 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:36 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:37 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3799
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:37 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:37 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:40 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3796
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:40 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:40 +0900] "GET /Hospital_Reservation/view/jumbotron.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:40 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:40 +0900] "GET /Hospital_Reservation/view/602720.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:43 +0900] "GET /Hospital_Reservation/view/doctorPro.jsp HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:47 +0900] "GET /Hospital_Reservation/view/doctorPro.jsp HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:57 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3799
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:57 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:57 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:02 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3799
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:02 +0900] "GET /Hospital_Reservation/view/jumbotron.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:02 +0900] "GET /Hospital_Reservation/view/602720.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:03 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:03 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:05 +0900] "GET /Hospital_Reservation/view/doctorPro.jsp HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:17 +0900] "GET /Hospital_Reservation/view/MainLogin.jsp HTTP/1.1" 200 3674
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:17 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:17 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:19 +0900] "GET /Hospital_Reservation/view/doctorPro.jsp HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:19 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:19 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:20 +0900] "GET /Hospital_Reservation/view/doctorPro.jsp HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:21 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:21 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:49 +0900] "GET /Hospital_Reservation/view/MainLogin.jsp HTTP/1.1" 200 3674
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:50 +0900] "GET /Hospital_Reservation/view/jumbotron.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:50 +0900] "GET /Hospital_Reservation/view/602720.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:50 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:50 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:51 +0900] "GET /Hospital_Reservation/view/doctorPro.jsp HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:52 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:52 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:52 +0900] "GET /Hospital_Reservation/view/MainLogin.jsp HTTP/1.1" 200 3674
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:53 +0900] "GET /Hospital_Reservation/view/jumbotron.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:53 +0900] "GET /Hospital_Reservation/view/602720.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:53 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:53 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:53 +0900] "GET /Hospital_Reservation/view/doctorPro.jsp HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:54 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:54 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:55 +0900] "GET /Hospital_Reservation/view/MainLogin.jsp HTTP/1.1" 200 3674
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:55 +0900] "GET /Hospital_Reservation/view/jumbotron.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:55 +0900] "GET /Hospital_Reservation/view/602720.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:55 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:55 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:45:55 +0900] "GET /Hospital_Reservation/view/loginForm.jsp HTTP/1.1" 302 -
